_id,Name,Type,Level,Rarity,Damage,Health,Energy,Sanity,Time Stamp
611532621b8964772805d48e,Dracolich,Undead,3,Rank 5,3d12+1,35.45,37.94,36.11,2021-08-12 14:38:26
611532621b8964772805d48f,Faerie Dragon,Dragon,6,Rank 3,6d8+1,47.71,46.47,46.73,2021-08-12 14:38:26
611532621b8964772805d490,White Faerie,Fey,3,Rank 1,3d4+1,11.28,12.31,10.07,2021-08-12 14:38:26
611532621b8964772805d491,Djinni,Elemental,9,Rank 1,9d4+2,35.22,35.4,36.39,2021-08-12 14:38:26
611532621b8964772805d492,Nightmare,Demonic,8,Rank 0,8d2+4,16.4,15.13,15.54,2021-08-12 14:38:26
611532621b8964772805d493,Kobold Villager,Devilkin,8,Rank 4,8d10,83.81,79.77,83.09,2021-08-12 14:38:26
611532621b8964772805d494,Faerie Dragon,Dragon,3,Rank 0,3d2,6.67,6.85,5.85,2021-08-12 14:38:26
611532621b8964772805d495,Red Faerie,Fey,6,Rank 2,6d6+2,37.74,35.9,36.64,2021-08-12 14:38:26
611532621b8964772805d496,Quasit,Demonic,4,Rank 4,4d10,38.79,36.76,37.35,2021-08-12 14:38:26
611532621b8964772805d497,Revenant,Undead,6,Rank 1,6d4+4,25.79,23.81,25.13,2021-08-12 14:38:26
611532621b8964772805d498,Faerie Dragon,Dragon,3,Rank 4,3d10,30.54,30.31,26.06,2021-08-12 14:38:26
611532621b8964772805d499,Steam Mephit,Elemental,3,Rank 2,3d6+3,18.71,19.37,18.95,2021-08-12 14:38:26
611532621b8964772805d49a,Wraith,Undead,7,Rank 1,7d4+1,27.29,28.88,26.72,2021-08-12 14:38:26
611532621b8964772805d49b,Mud Devil,Devilkin,8,Rank 0,8d2+1,15.71,15.49,15.03,2021-08-12 14:38:26
611532621b8964772805d49c,Mud Archfey,Fey,6,Rank 0,6d2+1,11.15,11.8,12.24,2021-08-12 14:38:26
611532621b8964772805d49d,Steam Mephit,Elemental,2,Rank 1,2d4+1,8.15,6.86,8.17,2021-08-12 14:38:26
611532621b8964772805d49e,Lich,Undead,6,Rank 2,6d6+1,36.32,38.91,34.51,2021-08-12 14:38:26
611532621b8964772805d49f,Faerie Dragon,Dragon,6,Rank 4,6d10,56.76,61.16,56.08,2021-08-12 14:38:26
611532621b8964772805d4a0,Dust Spirit,Fey,4,Rank 1,4d4+2,15.18,17.74,17.13,2021-08-12 14:38:26
611532621b8964772805d4a1,Mud Elemental,Elemental,5,Rank 0,5d2,9.55,9.3,10.35,2021-08-12 14:38:26
611532621b8964772805d4a2,Wight,Undead,10,Rank 1,10d4+4,41.8,40.71,38.68,2021-08-12 14:38:26
611532621b8964772805d4a3,Pseudodragon,Dragon,7,Rank 2,7d6+2,42.55,43.42,41.52,2021-08-12 14:38:26
611532621b8964772805d4a4,Green Faerie,Fey,8,Rank 2,8d6,48.64,50.1,47.32,2021-08-12 14:38:26
611532621b8964772805d4a5,Spore Mephit,Elemental,7,Rank 1,7d4+1,28.44,27.58,27.83,2021-08-12 14:38:26
611532621b8964772805d4a6,Banshee,Undead,12,Rank 0,12d2+1,23.86,24.45,23.51,2021-08-12 14:38:26
611532621b8964772805d4a7,Faerie Dragon,Dragon,5,Rank 1,5d4+2,19.99,21.89,20.74,2021-08-12 14:38:26
611532621b8964772805d4a8,Steam Spirit,Fey,4,Rank 1,4d4+1,16.98,16.27,16.19,2021-08-12 14:38:26
611532621b8964772805d4a9,Nightmare,Demonic,7,Rank 4,7d10+1,72.42,69.8,66.54,2021-08-12 14:38:26
611532621b8964772805d4aa,Wight,Undead,5,Rank 3,5d8+1,40.15,41.38,42.0,2021-08-12 14:38:26
611532621b8964772805d4ab,Steam Devil,Devilkin,5,Rank 3,5d8+2,42.15,37.29,41.78,2021-08-12 14:38:26
611532621b8964772805d4ac,Pseudodragon,Dragon,4,Rank 0,4d2+2,8.85,7.24,8.03,2021-08-12 14:38:26
611532621b8964772805d4ad,Green Faerie,Fey,9,Rank 1,9d4+1,35.72,37.89,36.44,2021-08-12 14:38:26
611532621b8964772805d4ae,Nightmare,Demonic,4,Rank 0,4d2+3,7.71,7.28,7.38,2021-08-12 14:38:26
611532621b8964772805d4af,Ghoul,Undead,7,Rank 5,7d12+3,87.17,78.81,81.46,2021-08-12 14:38:26
611532621b8964772805d4b0,Green Dragon,Dragon,6,Rank 1,6d4,24.82,25.16,24.03,2021-08-12 14:38:26
611532621b8964772805d4b1,Red Faerie,Fey,3,Rank 2,3d6,20.77,19.68,17.32,2021-08-12 14:38:26
611532621b8964772805d4b2,Mud Mephit,Elemental,5,Rank 1,5d4+1,18.99,20.32,20.16,2021-08-12 14:38:26
611532621b8964772805d4b3,Banshee,Undead,2,Rank 2,2d6+4,10.1,9.38,12.72,2021-08-12 14:38:26
611532621b8964772805d4b4,Mud Devil,Devilkin,4,Rank 1,4d4,16.13,16.19,14.18,2021-08-12 14:38:26
611532621b8964772805d4b5,Ice Spirit,Fey,6,Rank 1,6d4+1,24.76,24.85,24.33,2021-08-12 14:38:26
611532621b8964772805d4b6,Efreeti,Elemental,6,Rank 1,6d4+1,25.92,23.89,24.55,2021-08-12 14:38:26
611532621b8964772805d4b7,Hook Horror,Demonic,6,Rank 2,6d6,34.85,35.21,36.94,2021-08-12 14:38:26
611532621b8964772805d4b8,Skeletal Villager,Undead,2,Rank 2,2d6+2,12.56,9.88,13.01,2021-08-12 14:38:26
611532621b8964772805d4b9,Kobold Villager,Devilkin,4,Rank 1,4d4+3,17.17,15.75,15.28,2021-08-12 14:38:26
611532621b8964772805d4ba,Black Dragon,Dragon,11,Rank 0,11d2,21.69,21.77,22.35,2021-08-12 14:38:26
611532621b8964772805d4bb,Blue Faerie,Fey,4,Rank 1,4d4+2,15.92,15.71,17.0,2021-08-12 14:38:26
611532621b8964772805d4bc,Steam Mephit,Elemental,6,Rank 0,6d2+4,11.32,12.95,11.65,2021-08-12 14:38:26
611532621b8964772805d4bd,Imp,Demonic,4,Rank 2,4d6+1,24.63,25.68,25.38,2021-08-12 14:38:26
611532621b8964772805d4be,Dracolich,Undead,6,Rank 2,6d6+3,38.56,35.96,37.12,2021-08-12 14:38:26
611532621b8964772805d4bf,Kobold Villager,Devilkin,5,Rank 1,5d4,21.53,20.81,19.92,2021-08-12 14:38:26
611532621b8964772805d4c0,Green Drake,Dragon,8,Rank 2,8d6+1,48.97,48.06,48.46,2021-08-12 14:38:26
611532621b8964772805d4c1,Steam Spirit,Fey,5,Rank 3,5d8,43.72,41.3,40.4,2021-08-12 14:38:26
611532621b8964772805d4c2,Quasit,Demonic,4,Rank 3,4d8+2,30.66,31.98,32.27,2021-08-12 14:38:26
611532621b8964772805d4c3,Demilich,Undead,5,Rank 4,5d10+1,53.26,50.3,54.95,2021-08-12 14:38:26
611532621b8964772805d4c4,Pseudodragon,Dragon,2,Rank 1,2d4,6.48,7.84,8.78,2021-08-12 14:38:26
611532621b8964772805d4c5,Djinni,Elemental,6,Rank 2,6d6,36.75,37.14,35.63,2021-08-12 14:38:26
611532621b8964772805d4c6,Night Hag,Demonic,6,Rank 3,6d8,49.01,49.55,49.98,2021-08-12 14:38:26
611532621b8964772805d4c7,Banshee,Undead,7,Rank 0,7d2+2,13.45,13.76,14.97,2021-08-12 14:38:26
611532621b8964772805d4c8,Goblin Villager,Devilkin,4,Rank 2,4d6+3,21.52,24.44,23.44,2021-08-12 14:38:26
611532621b8964772805d4c9,Onyx Faerie,Fey,2,Rank 1,2d4+1,8.7,9.6,9.7,2021-08-12 14:38:26
611532621b8964772805d4ca,Dust Mephit,Elemental,5,Rank 0,5d2+4,9.71,9.82,10.61,2021-08-12 14:38:26
611532621b8964772805d4cb,Quasit,Demonic,4,Rank 2,4d6+3,23.21,23.98,22.08,2021-08-12 14:38:26
611532621b8964772805d4cc,Demilich,Undead,10,Rank 2,10d6+1,60.11,60.83,58.95,2021-08-12 14:38:26
611532621b8964772805d4cd,Goblin Villager,Devilkin,5,Rank 3,5d8+1,39.18,40.79,42.03,2021-08-12 14:38:26
611532621b8964772805d4ce,Green Wyrmling,Dragon,5,Rank 3,5d8,37.56,39.16,40.44,2021-08-12 14:38:26
611532621b8964772805d4cf,Smoke Spirit,Fey,4,Rank 0,4d2,7.84,7.61,7.25,2021-08-12 14:38:26
611532621b8964772805d4d0,Ice Mephit,Elemental,8,Rank 4,8d10,75.48,80.29,76.61,2021-08-12 14:38:26
611532621b8964772805d4d1,Onyx Demon,Demonic,5,Rank 2,5d6+1,30.98,29.2,31.08,2021-08-12 14:38:26
611532621b8964772805d4d2,Zombie Villager,Undead,8,Rank 2,8d6,50.0,46.81,47.15,2021-08-12 14:38:26
611532621b8964772805d4d3,Goblin Villager,Devilkin,3,Rank 1,3d4+2,12.55,11.48,11.99,2021-08-12 14:38:26
611532621b8964772805d4d4,Blue Faerie,Fey,8,Rank 0,8d2,15.81,15.24,15.34,2021-08-12 14:38:26
611532621b8964772805d4d5,Steam Mephit,Elemental,2,Rank 2,2d6+1,11.68,12.94,13.52,2021-08-12 14:38:26
611532621b8964772805d4d6,Hook Horror,Demonic,6,Rank 3,6d8,48.95,50.9,46.28,2021-08-12 14:38:26
611532621b8964772805d4d7,Steam Devil,Devilkin,8,Rank 2,8d6+3,46.16,46.85,50.6,2021-08-12 14:38:26
611532621b8964772805d4d8,Wyvern,Dragon,6,Rank 2,6d6+2,37.47,36.08,35.12,2021-08-12 14:38:26
611532621b8964772805d4d9,White Faerie,Fey,5,Rank 0,5d2,10.56,10.89,9.4,2021-08-12 14:38:26
611532621b8964772805d4da,Efreeti,Elemental,6,Rank 2,6d6+4,34.22,35.47,34.4,2021-08-12 14:38:26
611532621b8964772805d4db,Lich,Undead,7,Rank 2,7d6+1,42.37,41.01,40.96,2021-08-12 14:38:26
611532621b8964772805d4dc,Goblin Villager,Devilkin,3,Rank 1,3d4+3,12.45,13.2,10.36,2021-08-12 14:38:26
611532621b8964772805d4dd,Copper Dragon,Dragon,5,Rank 0,5d2,9.37,10.81,10.63,2021-08-12 14:38:26
611532621b8964772805d4de,Blue Faerie,Fey,5,Rank 2,5d6+1,32.05,27.85,29.68,2021-08-12 14:38:26
611532621b8964772805d4df,Hell Hound,Demonic,4,Rank 0,4d2+1,8.3,8.5,8.58,2021-08-12 14:38:26
611532621b8964772805d4e0,Kobold Villager,Devilkin,5,Rank 1,5d4+2,21.62,19.61,20.56,2021-08-12 14:38:26
611532621b8964772805d4e1,Red Wyrmling,Dragon,8,Rank 2,8d6,45.65,50.37,48.56,2021-08-12 14:38:26
611532621b8964772805d4e2,Magma Elemental,Elemental,3,Rank 1,3d4+2,12.4,10.99,11.28,2021-08-12 14:38:26
611532621b8964772805d4e3,Black Demon,Demonic,6,Rank 0,6d2+1,11.45,11.08,11.61,2021-08-12 14:38:26
611532621b8964772805d4e4,Ghostly Villager,Undead,4,Rank 1,4d4+4,15.07,16.95,16.77,2021-08-12 14:38:26
611532621b8964772805d4e5,Pseudodragon,Dragon,9,Rank 0,9d2,17.28,17.54,18.62,2021-08-12 14:38:26
611532621b8964772805d4e6,Dust Archfey,Fey,7,Rank 0,7d2+1,14.38,14.61,13.61,2021-08-12 14:38:26
611532621b8964772805d4e7,Mud Mephit,Elemental,4,Rank 3,4d8+1,34.59,34.24,34.85,2021-08-12 14:38:26
611532621b8964772805d4e8,Revenant,Undead,6,Rank 2,6d6,36.05,34.67,38.93,2021-08-12 14:38:26
611532621b8964772805d4e9,Black Dragon,Dragon,10,Rank 2,10d6,59.8,62.64,61.55,2021-08-12 14:38:26
611532621b8964772805d4ea,Spore Spirit,Fey,4,Rank 0,4d2,8.5,7.34,8.34,2021-08-12 14:38:26
611532621b8964772805d4eb,Quasit,Demonic,2,Rank 0,2d2+2,4.49,4.18,3.66,2021-08-12 14:38:26
611532621b8964772805d4ec,Ghast,Undead,4,Rank 1,4d4,15.63,16.46,14.76,2021-08-12 14:38:26
611532621b8964772805d4ed,Goblin Villager,Devilkin,8,Rank 4,8d10+1,76.15,80.41,78.18,2021-08-12 14:38:26
611532621b8964772805d4ee,White Dragon,Dragon,9,Rank 1,9d4+2,35.29,36.89,35.03,2021-08-12 14:38:26
611532621b8964772805d4ef,Copper Faerie,Fey,6,Rank 1,6d4+2,25.15,24.4,25.77,2021-08-12 14:38:26
611532621b8964772805d4f0,Efreeti,Elemental,5,Rank 0,5d2,10.61,9.65,9.43,2021-08-12 14:38:26
6115949bc9ddee917c8ae719,Pit Fiend,Demonic,7,Rank 4,7d10+1,72.01,70.08,70.78,2021-08-12 14:37:31
6115949bc9ddee917c8ae71a,Ghostly Villager,Undead,10,Rank 1,10d4+3,39.85,40.19,40.48,2021-08-12 14:37:31
6115949bc9ddee917c8ae71b,Faerie Dragon,Dragon,5,Rank 0,5d2+2,10.86,9.13,9.53,2021-08-12 14:37:31
6115949bc9ddee917c8ae71c,Efreeti,Elemental,7,Rank 3,7d8,55.43,58.38,54.84,2021-08-12 14:37:31
6115949bc9ddee917c8ae71d,Steam Devil,Devilkin,6,Rank 2,6d6+1,35.24,34.69,35.57,2021-08-12 14:37:31
6115949bc9ddee917c8ae71e,Ghoul,Undead,6,Rank 0,6d2,11.8,11.58,12.96,2021-08-12 14:37:31
6115949bc9ddee917c8ae71f,Brass Drake,Dragon,9,Rank 2,9d6,55.82,53.4,52.25,2021-08-12 14:37:31
6115949bc9ddee917c8ae720,Blue Faerie,Fey,8,Rank 1,8d4+2,32.83,32.7,33.62,2021-08-12 14:37:31
6115949bc9ddee917c8ae721,Ice Elemental,Elemental,8,Rank 3,8d8+1,61.74,63.65,66.75,2021-08-12 14:37:31
6115949bc9ddee917c8ae722,Kobold Villager,Devilkin,5,Rank 3,5d8+2,37.16,40.66,37.41,2021-08-12 14:37:31
6115949bc9ddee917c8ae723,Ghoul,Undead,4,Rank 4,4d10,41.98,42.35,41.62,2021-08-12 14:37:31
6115949bc9ddee917c8ae724,Faerie Dragon,Dragon,5,Rank 1,5d4+2,19.78,20.12,19.79,2021-08-12 14:37:31
6115949bc9ddee917c8ae725,Green Faerie,Fey,6,Rank 0,6d2+1,12.05,11.07,11.93,2021-08-12 14:37:31
6115949bc9ddee917c8ae726,Efreeti,Elemental,8,Rank 0,8d2,15.38,16.21,15.21,2021-08-12 14:37:31
6115949bc9ddee917c8ae727,Goblin Villager,Devilkin,4,Rank 0,4d2+1,8.58,8.87,7.72,2021-08-12 14:37:31
6115949bc9ddee917c8ae728,Hell Hound,Demonic,5,Rank 3,5d8+4,39.02,39.82,40.33,2021-08-12 14:37:31
6115949bc9ddee917c8ae729,Green Wyrmling,Dragon,10,Rank 0,10d2+2,19.65,19.2,20.08,2021-08-12 14:37:31
6115949bc9ddee917c8ae72a,Mud Spirit,Fey,3,Rank 1,3d4+3,11.35,13.14,11.77,2021-08-12 14:37:31
6115949bc9ddee917c8ae72b,Steam Mephit,Elemental,6,Rank 3,6d8,50.54,45.68,48.71,2021-08-12 14:37:31
6115949bc9ddee917c8ae72c,Goblin Villager,Devilkin,7,Rank 0,7d2,14.03,13.82,14.11,2021-08-12 14:37:31
6115949bc9ddee917c8ae72d,Quasit,Demonic,3,Rank 3,3d8,23.6,21.75,27.84,2021-08-12 14:37:31
6115949bc9ddee917c8ae72e,Revenant,Undead,4,Rank 1,4d4+2,15.25,15.27,14.0,2021-08-12 14:37:31
6115949bc9ddee917c8ae72f,Sapphire Dragon,Dragon,8,Rank 1,8d4+2,31.08,32.86,31.95,2021-08-12 14:37:31
6115949bc9ddee917c8ae730,Steam Spirit,Fey,6,Rank 1,6d4,23.28,23.08,23.8,2021-08-12 14:37:31
6115949bc9ddee917c8ae731,Mud Mephit,Elemental,5,Rank 0,5d2+3,9.6,10.69,10.13,2021-08-12 14:37:31
6115949bc9ddee917c8ae732,Goblin Villager,Devilkin,5,Rank 0,5d2+1,10.93,10.75,10.6,2021-08-12 14:37:31
6115949bc9ddee917c8ae733,Hook Horror,Demonic,8,Rank 1,8d4+2,33.21,32.78,30.97,2021-08-12 14:37:31
6115949bc9ddee917c8ae734,Wraith,Undead,8,Rank 0,8d2+2,16.36,16.57,15.49,2021-08-12 14:37:31
6115949bc9ddee917c8ae735,Blue Drake,Dragon,10,Rank 2,10d6+2,58.42,62.16,58.04,2021-08-12 14:37:31
6115949bc9ddee917c8ae736,Mud Elemental,Elemental,3,Rank 0,3d2,5.96,6.49,6.32,2021-08-12 14:37:31
6115949bc9ddee917c8ae737,Kobold Villager,Devilkin,9,Rank 0,9d2,17.44,17.18,18.23,2021-08-12 14:37:31
6115949bc9ddee917c8ae738,Ghostly Villager,Undead,7,Rank 1,7d4+2,28.71,29.19,29.09,2021-08-12 14:37:31
6115949bc9ddee917c8ae739,Red Wyrmling,Dragon,6,Rank 4,6d10+2,57.27,63.34,60.71,2021-08-12 14:37:31
6115949bc9ddee917c8ae73a,Blue Faerie,Fey,5,Rank 2,5d6,27.89,31.82,28.09,2021-08-12 14:37:31
6115949bc9ddee917c8ae73b,SuccubusPit Lord,Devilkin,6,Rank 1,6d4+1,22.58,23.45,24.62,2021-08-12 14:37:31
6115949bc9ddee917c8ae73c,Hell Hound,Demonic,4,Rank 3,4d8+1,29.44,34.65,30.42,2021-08-12 14:37:31
6115949bc9ddee917c8ae73d,Demilich,Undead,6,Rank 2,6d6,36.87,33.7,35.57,2021-08-12 14:37:31
6115949bc9ddee917c8ae73e,Red Wyrmling,Dragon,6,Rank 3,6d8,50.72,50.79,47.38,2021-08-12 14:37:31
6115949bc9ddee917c8ae73f,Brass Faerie,Fey,5,Rank 4,5d10,45.67,46.42,51.91,2021-08-12 14:37:31
6115949bc9ddee917c8ae740,Goblin Villager,Devilkin,9,Rank 0,9d2,18.64,18.41,17.9,2021-08-12 14:37:31
6115949bc9ddee917c8ae741,Imp,Demonic,7,Rank 1,7d4,28.38,27.8,27.76,2021-08-12 14:37:31
6115949bc9ddee917c8ae742,Wraith,Undead,5,Rank 0,5d2+2,10.67,9.83,9.37,2021-08-12 14:37:31
6115949bc9ddee917c8ae743,Pseudodragon,Dragon,3,Rank 1,3d4+2,12.71,11.36,12.42,2021-08-12 14:37:31
6115949bc9ddee917c8ae744,Ice Spirit,Fey,8,Rank 2,8d6+3,46.53,45.79,48.77,2021-08-12 14:37:31
6115949bc9ddee917c8ae745,Djinni,Elemental,6,Rank 2,6d6+4,34.78,35.04,34.37,2021-08-12 14:37:31
6115949bc9ddee917c8ae746,IncubusPit Lord,Devilkin,5,Rank 2,5d6+2,28.62,30.78,27.19,2021-08-12 14:37:31
6115949bc9ddee917c8ae747,Ghast,Undead,5,Rank 0,5d2+3,9.15,9.41,9.51,2021-08-12 14:37:31
6115949bc9ddee917c8ae748,Green Wyrmling,Dragon,6,Rank 2,6d6,35.2,37.68,38.85,2021-08-12 14:37:31
6115949bc9ddee917c8ae749,Blue Faerie,Fey,6,Rank 1,6d4+4,24.89,23.57,23.25,2021-08-12 14:37:31
6115949bc9ddee917c8ae74a,Goblin Villager,Devilkin,2,Rank 0,2d2,4.7,4.58,4.04,2021-08-12 14:37:31
6115949bc9ddee917c8ae74b,Dracolich,Undead,4,Rank 0,4d2,8.13,8.37,7.35,2021-08-12 14:37:31
6115949bc9ddee917c8ae74c,Black Drake,Dragon,5,Rank 2,5d6+2,32.44,31.96,32.16,2021-08-12 14:37:31
6115949bc9ddee917c8ae74d,Black Faerie,Fey,7,Rank 1,7d4+1,27.6,29.82,28.5,2021-08-12 14:37:31
6115949bc9ddee917c8ae74e,Mud Mephit,Elemental,6,Rank 1,6d4+1,23.89,23.77,25.55,2021-08-12 14:37:31
6115949bc9ddee917c8ae74f,Quasit,Demonic,5,Rank 2,5d6,27.61,28.67,29.48,2021-08-12 14:37:31
6115949bc9ddee917c8ae750,Ghostly Archer,Undead,10,Rank 1,10d4+1,38.43,41.17,38.91,2021-08-12 14:37:31
6115949bc9ddee917c8ae751,Faerie Dragon,Dragon,9,Rank 1,9d4+3,36.44,36.98,34.4,2021-08-12 14:37:31
6115949bc9ddee917c8ae752,Steam Mephit,Elemental,6,Rank 4,6d10+2,55.53,63.92,57.71,2021-08-12 14:37:31
6115949bc9ddee917c8ae753,Kobold Archer,Devilkin,7,Rank 0,7d2+3,14.66,14.22,13.61,2021-08-12 14:37:31
6115949bc9ddee917c8ae754,Quasit,Demonic,4,Rank 1,4d4+1,15.39,16.07,15.25,2021-08-12 14:37:31
6115949bc9ddee917c8ae755,Demilich,Undead,8,Rank 2,8d6+1,49.58,49.53,50.52,2021-08-12 14:37:31
6115949bc9ddee917c8ae756,Green Wyrmling,Dragon,3,Rank 0,3d2,5.77,6.34,6.46,2021-08-12 14:37:31
6115949bc9ddee917c8ae757,Mud Spirit,Fey,7,Rank 0,7d2+1,14.11,14.25,13.77,2021-08-12 14:37:31
6115949bc9ddee917c8ae758,Djinni,Elemental,11,Rank 1,11d4+2,43.29,43.2,43.62,2021-08-12 14:37:31
6115949bc9ddee917c8ae759,Mud Devil,Devilkin,8,Rank 1,8d4+3,33.52,31.84,33.51,2021-08-12 14:37:31
6115949bc9ddee917c8ae75a,Wight,Undead,4,Rank 0,4d2+2,8.8,7.92,8.51,2021-08-12 14:37:31
6115949bc9ddee917c8ae75b,Faerie Dragon,Dragon,6,Rank 3,6d8+1,48.68,44.44,51.57,2021-08-12 14:37:31
6115949bc9ddee917c8ae75c,Mud Mephit,Elemental,16,Rank 0,16d2,31.62,31.36,32.89,2021-08-12 14:37:31
6115949bc9ddee917c8ae75d,Imp,Demonic,4,Rank 0,4d2+1,7.93,8.15,7.92,2021-08-12 14:37:31
6115949bc9ddee917c8ae75e,Copper Dragon,Dragon,7,Rank 3,7d8,58.75,55.47,58.87,2021-08-12 14:37:31
6115949bc9ddee917c8ae75f,White Faerie,Fey,7,Rank 0,7d2+2,13.73,14.59,13.66,2021-08-12 14:37:31
6115949bc9ddee917c8ae760,Ice Mephit,Elemental,6,Rank 0,6d2+2,11.92,11.5,12.9,2021-08-12 14:37:31
6115949bc9ddee917c8ae761,Dust Devil,Devilkin,8,Rank 2,8d6,48.92,46.35,49.16,2021-08-12 14:37:31
6115949bc9ddee917c8ae762,Imp,Demonic,5,Rank 2,5d6,27.45,27.25,28.66,2021-08-12 14:37:31
6115949bc9ddee917c8ae763,Mummy Lord,Undead,6,Rank 2,6d6+4,36.18,35.18,36.18,2021-08-12 14:37:31
6115949bc9ddee917c8ae764,Red Archfey,Fey,7,Rank 1,7d4,28.41,27.02,26.82,2021-08-12 14:37:31
6115949bc9ddee917c8ae765,Steam Mephit,Elemental,6,Rank 0,6d2,11.71,11.27,11.16,2021-08-12 14:37:31
6115949bc9ddee917c8ae766,Steam Devil,Devilkin,7,Rank 0,7d2+2,14.94,14.17,13.64,2021-08-12 14:37:31
6115949bc9ddee917c8ae767,Dracolich,Undead,5,Rank 1,5d4+4,18.18,21.6,20.41,2021-08-12 14:37:31
6115949bc9ddee917c8ae768,Green Faerie,Fey,9,Rank 1,9d4,34.13,35.53,37.28,2021-08-12 14:37:31
6115949bc9ddee917c8ae769,Steam Elemental,Elemental,8,Rank 0,8d2,16.71,16.91,16.87,2021-08-12 14:37:31
6115949bc9ddee917c8ae76a,Goblin Villager,Devilkin,11,Rank 1,11d4+1,45.14,45.04,42.54,2021-08-12 14:37:31
6115949bc9ddee917c8ae76b,Blue Demon,Demonic,16,Rank 3,16d8+1,130.84,127.32,129.25,2021-08-12 14:37:31
6115949bc9ddee917c8ae76c,Ghostly Villager,Undead,7,Rank 0,7d2,14.81,14.25,13.37,2021-08-12 14:37:31
6115949bc9ddee917c8ae76d,White Wyrmling,Dragon,6,Rank 0,6d2,11.5,11.5,12.07,2021-08-12 14:37:31
6115949bc9ddee917c8ae76e,Blue Faerie,Fey,7,Rank 0,7d2+1,13.17,13.77,14.86,2021-08-12 14:37:31
6115949bc9ddee917c8ae76f,Mud Mephit,Elemental,7,Rank 2,7d6+2,43.09,41.73,44.46,2021-08-12 14:37:31
6115949bc9ddee917c8ae770,Imp,Demonic,4,Rank 4,4d10,42.54,42.55,43.76,2021-08-12 14:37:31
